"Date","Predicted_CAC40"
2025-01-01,7238.95479996422
2025-01-02,7151.57759669041
2025-01-03,7217.13189511292
2025-01-04,7296.05739517377
2025-01-05,7168.29135284042
2025-01-06,7116.70919588384
2025-01-07,7137.63498450659
2025-01-08,7118.05175591214
2025-01-09,7114.14178205733
2025-01-10,7211.52676246208
2025-01-11,7228.5179684393
2025-01-12,7249.52635098485
2025-01-13,7301.08262148395
2025-01-14,7451.31731208285
2025-01-15,7425.11082084948
2025-01-16,7339.06344555553
2025-01-17,7421.53540894681
2025-01-18,7374.98687764665
2025-01-19,7349.06797629633
2025-01-20,7288.76879813282
2025-01-21,7346.15941290132
2025-01-22,7255.9398727742
2025-01-23,7210.98021677858
2025-01-24,7226.20047410844
2025-01-25,7263.52066660206
2025-01-26,7249.88081059545
2025-01-27,7257.48758497527
2025-01-28,7256.3709988826
2025-01-29,7292.33105915536
2025-01-30,7256.62110424194
